ID	extID	name	tooltipbase	tilemap	graphicstype	enabled	parity	x	y	itemmemory	rng	overlap	nointeract	enemy	item	standable	warp
0x0C4	None	Winged cloud, watermelon		t187 p10 x+12 y-1; t1A7 p10 x+F y+2; t187 p10 x-A y-1 fx; t1A7 p10 x-7 y+2 fx; t18C p10 r16; tC8 p10 r16 x+5 y+5 o50		3				0	0	0	0	0	1	0	0
0x0C5	None	Winged cloud, fire melon		t187 p10 x+12 y-1; t1A7 p10 x+F y+2; t187 p10 x-A y-1 fx; t1A7 p10 x-7 y+2 fx; t18C p10 r16; tC8 p11 r16 x+5 y+5 o50		3				0	0	0	0	0	1	0	0
0x0C6	None	Winged cloud, ice melon		t187 p10 x+12 y-1; t1A7 p10 x+F y+2; t187 p10 x-A y-1 fx; t1A7 p10 x-7 y+2 fx; t18C p10 r16; tC8 p13 r16 x+5 y+5 o50		3				0	0	0	0	0	1	0	0
0x0C7	None	Winged cloud, vine, 3 leaves	When activated, falls to the ground and spawns a vine. The vine does not despawn.	t187 p10 x+12 y-1; t1A7 p10 x+F y+2; t187 p10 x-A y-1 fx; t1A7 p10 x-7 y+2 fx; t18C p10 r16; s5C t00 p11 r16 x+4 o50; s5C t00 p11 r16 x+4 y+10 fy o50; s5C t02 p11 r32,16 x-13 y+7 o50; s5C t0E p11 r16 x-8 y-18 fx o50; s5C t0E p11 r16 x+8 y-18 o50; s5C t0E p11 r16 x-8 y-8 fxy o50; s5C t0E p11 r16 x+8 y-8 fy o50; s5C t1B p11 y-8 fx o50; s5C t1B p11 x+8 y-8 o50		3				0	0	0	0	0	1	1	0
0x0C8	None	Winged cloud, vine, 6 leaves	When activated, falls to the ground and spawns a vine. The vine does not despawn.	t187 p10 x+12 y-1; t1A7 p10 x+F y+2; t187 p10 x-A y-1 fx; t1A7 p10 x-7 y+2 fx; t18C p10 r16; s5C t00 p11 r16 x-4 fx o50; s5C t00 p11 r16 x-4 y+10 fxy o50; s5C t02 p11 r32,16 x+3 y+7 fx o50; s5C t0E p11 r16 x-8 y-18 fx o50; s5C t0E p11 r16 x+8 y-18 o50; s5C t0E p11 r16 x-8 y-8 fxy o50; s5C t0E p11 r16 x+8 y-8 fy o50; s5C t1B p11 y-8 fx o50; s5C t1B p11 x+8 y-8 o50		3				0	0	0	0	0	1	1	0
0x0C9	None	Winged cloud, ???		t187 p10 x+12 y-1; t1A7 p10 x+F y+2; t187 p10 x-A y-1 fx; t1A7 p10 x-7 y+2 fx; t18C p10 r16						0	0		0				
0x0CA	None	Boss door, large	A larger boss door typically used for the final boss.	d082A9FA4 p11 r16,32 m2 x+1E y-10 fx; d082A9FA4 p11 r16,32 m2 x+2 y-10		3		3			0	0	0	0	0	0	1
0x0CB	None	Winged cloud, 1 coin (sprite)	Produced by the winged cloud inventory item. When activated, spawns a coin sprite that falls to the ground.	t187 p10 x+12 y-1; t1A7 p10 x+F y+2; t187 p10 x-A y-1 fx; t1A7 p10 x-7 y+2 fx; t18C p10 r16; tAC p12 r16 x+5 y+5 o50		3				0	0	0	0	0	1	0	0
0x0CC	None	Winged cloud, ! switch		t187 p10 x+12 y-1; t1A7 p10 x+F y+2; t187 p10 x-A y-1 fx; t1A7 p10 x-7 y+2 fx; t18C p10 r16; d082921A4 p11 r32 x-8 y-6 o50		3	1			0	0	0	0	0	1	0	0
0x0CC	0	cloud with ! switch															
0x0CC	1	! switch		d082921A4 p11 r32 x-8 y-10													
0x0CD	None	Balloon, with giant egg (Bowser battle)	Balloon color is random green/red/yellow/pink.	t16C p10 x+4 y-12; t16C p10 x+4 y-E; t112 p11 r16 x+4 y-8; t110 p11 r16 x-4; t132 p11 x+C y+8; t114 p11 x-4 y-8; t148 p10 r16 y-20	Stripe {no ID} in slot 4	2						0	0		1		
0x0CE	None	Bowser's fireball	Floats in midair with no interaction.			1						0	0	1			
0x0CF	None	Bowser's falling rock generator	Spawns many rocks in the background that rise upward, then 4 falling rocks that destroy the ground. The rocks can destroy different places if this sprite is respawned.			2											
0x0D0	None	Screen edge pipe, rightward	Creates a pipe transition at the edge of the screen.	t184 p12 y-5; t184 p12 y-3 fy; t1A5 p12 x+8 y-8; t1A5 p12 x+8 fy	None	3						0	0				1
0x0D1	None	! switch pipe	Only visible and enterable when an ! switch is active.	t184 p11 x+B y-20; t184 p11 x+D y-20 fx; t185 p11 x+8 y-18 fxy; t185 p11 x+10 y-18 fy; l1 t258 p3 r16 o50; l1 t278 p3 r16,8 x+10 o50; l1 t8F p3 x+10 y+8 o50; l1 t9F p3 x+18 y+8 o50		3			5			0	0				1
0x0D2	None	Marching Milde	<i>L2=16 + L3=26 + Stripe 6D+6E next+6F+29 + Dynamic</i><br> Boss activator. Splits into two 4x4 Mildes when ground pounded.		See tooltip	3						0	0	2			
0x0D3	None	Milde, 4x4	A very large Milde that splits into two 2x2 Mildes when ground pounded.	s6F t06 p17 r16 x+18 y+E fx; s6F t08 p17 r16 x+14 y+14 fx; d082A1FA4 p17 r32 x+7 y+8 fx; d082A1FA4 p17 r32 x-18 y+8; d082A1F24 p16 r32 x+7 y-18 fx; d082A1F24 p16 r32 x-18 y-18; s6F t00 p17 r16 x-12 y-11; s6F t04 p17 r16 x+1 y-E; s6F t02 p17 r16 x-A y-11; s6F t06 p16 r16 x-18 y+E; s6F t08 p16 r16 x-14 y+14		3						0	0	1			
0x0D4	None	Milde, 2x2	A large Milde that splits into two 1x1 Mildes when ground pounded.	s6D t04 p14 r32,16 x-8 y-C; s6D t26 p14 r32,16 x-8 y+4	Stripe 6D+6E next	3						0	0	1			
0x0D5	None	Hookbill battle background	Sprite background used in the Hookbill battle. Loops horizontally.	t9E p17 r16 xE8 y30; t98 p17 r16 xC8 y50; t98 p17 r16 xB8 y18; t9E p17 r16 x88 y38; t9A p17 r32,16 x80 y70; t94 p17 r32,16 x80 y60; t90 p17 r32,16 x80 y50; t9E p17 r16 x60 y08; t9E p17 r16 x58 y58; t9E p17 r16 x30 y38; t9E p17 r16 x28 y10; t98 p17 r16 x20 y30; t9E p17 r16 x08 y60; t9A p17 r32,16 y40; t94 p17 r32,16 y30; t90 p17 r32,16 y20	Stripe 1A in slot 2	2		0	0			0	1	0	0	0	0
0x0D6	None	Ghost lift (5-4 movement)			L3=?	3						0	0			1	
0x0D7	None	Sluggy the Unshaven	Boss activator.			3						0	0	2			
0x0D8	None	Chomp sign	Decorative.	d0829A1A4 p11 r32 x-8 y-8		3						0	1	0	0	0	0
0x0D9	None	Fishin' Lakitu	A Lakitu with a fishing rod that tries to catch Baby Mario and carry him out of reach.	t13D p10 x+9 y-3; t118 p12 r16 x+4 y+4 fx; t118 p12 r16 x-4 y+4; t11D p11 x+3 y-D; t114 p11 r16 x-3 y-6; t156 p12 r16 x-11 y+8; t154 p12 r16 x-A y-5	Stripe 49 in slot 4 + AA in slot 5	3						0	0	1			
0x0DA	None	Flower pot	When pushed off a ledge, breaks and reveals an item. After the item is collected, the flower pot still spawns but contains nothing.			3	3			2	0	0	0	0	1	1	0
0x0DA	0	key		s44 t02 p11 r32,16 x-8 y-16; s44 t00 p11 r16 y-26; s44 t08 p11 r24,16 x-4; s44 t0D p11 r24,8 x-4 y-8; t1CE p11 r16 y-8 o50						2							
0x0DA	1	6 stars		s44 t02 p11 r32,16 x-8 y-16; s44 t00 p11 r16 y-26; s44 t08 p11 r24,16 x-4; s44 t0D p11 r24,8 x-4 y-8; t14A p12 r16 y-A o50; t12E p10 o50; t12E p10 x+7 fx o50						2							
0x0DA	2	6 coins		s44 t02 p11 r32,16 x-8 y-16; s44 t00 p11 r16 y-26; s44 t08 p11 r24,16 x-4; s44 t0D p11 r24,8 x-4 y-8; tAC p12 r16 y-8 o50						2							
0x0DA	3	nothing		s44 t02 p11 r32,16 x-8 y-16; s44 t00 p11 r16 y-26; s44 t08 p11 r24,16 x-4; s44 t0D p11 r24,8 x-4 y-8						0							
0x0DB	None	Pushable compressible rectangular platform			L3=?	3						0	0			1	
0x0DC	None	Rolling snowball	A snowball that can be pushed like a Chomp Rock. Grows in size as it moves.	d0829EEA4 p13 r32 x-8 y-A m.7		3						0	0		1	1	
0x0DD	None	Seals boss room entrances	(doesn't spawn when placed directly)			1											
0x0DE	None	Falling stone block, 1x2	From object 89. Falls automatically. Does not collide with the ground.	s20 t24 p06 r16 y-1; s20 t28 p06 r16 y+F	Stripe 20+21 next	2											
0x0DF	None	Blurp (Piscatory Pete)				3	1					0	0	1			
0x0DF	0	normal/slow		s3E t08 p17 r16													
0x0DF	1	gold/fast		s3E t08 p16 r16													
0x0E0	None	Preying Mantas (jellyfish)	A jellyfish that drifts gradually upward, then more quickly downward. Does not require water.			3	1					0	0	1			
0x0E0	0	3 tiles		s3E t00 p16 r16													
0x0E0	1	5 tiles		s3E t02 p16 r16													
0x0E1	None	Loch Nestor (pufferfish)	A pufferfish that swims 4 tiles horizontlaly back and forth. When hit by a torpedo, grows larger and starts chasing Yoshi. Pops on the third torpedo.	s3E t0E p17 r16		3						0	0	1			
0x0E2	None	Boo Blah	A ghost that sticks to a surface and stretches its arms periodically.		Stripe 22+23 next	3	1					0	0	1			
0x0E2	0	floor		s22 t28 p11 r24,16 x-5; s22 t09 p11 r24,16 x-5 y-10; s22 t0C p11 r16 x-7 y-20; s22 t0C p11 r16 x+3 y-20													
0x0E2	1	ceiling		s22 t28 p11 r24,16 x-5 fy; s22 t09 p11 r24,16 x-5 y+10 fy; s22 t0C p11 r16 x-7 y+20 fy; s22 t0C p11 r16 x+3 y+20 fy													
0x0E3	None	Boo Blah, with Piro Dangle	A ghost that sticks to a surface and stretches its arms periodically, carrying a Sparky-like fireball.		Stripe 22+23 next+45 + Dynamic	3	1					0	0	1			
0x0E3	0	floor		s22 t03 p11 r24,16 x-5; d08294f64 p11 r16 m1.1 x-5 y-C; s45 t02 p11 x-5 y-8; s45 t02 p11 x+3 y-7 fx													
0x0E3	1	ceiling		s22 t03 p11 r24,16 x-5 fy; d08294f64 p11 r16 m1.1 x-5 y+C fy; s45 t02 p11 x-5 y+10; s45 t02 p11 x+3 y+11 fx													
0x0E4	None	Heading Pokey	A stationary cactus that bounces a Needlenose off its head.	s24 t0C p10 r16; s24 t0A p10 r16 y-10; t10A p10 r16 y-1C		3						0	0	1			
0x0E5	None	Heading Pokey's Needlenose	Floats in midair.	t10A p10 r16		2						0	0	1			
0x0E6	None	Gusty, horizontal, one-way				3	3					0	0	1			
0x0E6	0	left single	A ghost that flies one way horizontally.	s25 t06 p12 r32,16 x-8													
0x0E6	1	right single	A ghost that flies one way horizontally.	s25 t06 p12 r32,16 x-8 fx													
0x0E6	2	right generator	Spawns infinite rightward Gusties in this sprite's row, unless disabled with sprite 1E2.	s25 t06 p12 r32,16 y-10 fx; s25 t06 p12 r32,16 x-8 y-10 fx													
0x0E6	3	left generator	Spawns infinite leftward Gusties in this sprite's row, unless disabled with sprite 1E2.	s25 t06 p12 r32,16 x-8 y-10; s25 t06 p12 r32,16 y-10													
0x0E7	None	Burt	Normally moves with large jumps. If another Burt is in front, it'll jump onto that Burt's back first.			3	1					0	0	1			
0x0E7	0	2 Burts		d0829A224 p10 r32 x-8 y-F; t12E p10 x+8 y+8; t12E p10 y+8 fx; d0829A224 p10 r32 x+28 y-13; t4F p10 x+38 y+8; t4F p10 x+30 y+8 fx													
0x0E7	1	1 Burt		d0829A224 p10 r32 x-8 y-F; t12E p10 x+8 y+8; t12E p10 y+8 fx													
0x0E8	None	Goonie, flying				3	2					0	0	1		1	
0x0E8	0	single	A bird that swoops down occasionally. Can be ridden, in which case it slowly gains height.	s2A t24 p12 x-18 fx; s2A t22 p12 r16 x-10 fx; s2A t34 p12 y+4 fx; s2A t00 p12 r32,16 x-8; s2A t24 p12 x+27; s2A t22 p12 r16 x+17; s2A t34 p12 x+F y+4;													
0x0E8	2	generator	Spawns infinite leftward Goonies in this sprite's row, unless disabled with sprite 1FD.	s2A t24 p12 x-10 y-9 fx; s2A t22 p12 r16 x-8 y-8 fx; s2A t34 p12 x+8 y-4 fx; s2A t00 p12 r32,16 y-8; s2A t24 p12 x+2F y-8; s2A t22 p12 r16 x+1F y-8; s2A t34 p12 x+17 y-4; s2A t24 p12 x-18 fx; s2A t22 p12 r16 x-10 fx; s2A t34 p12 y+4 fx; s2A t00 p12 r32,16 x-8; s2A t24 p12 x+27; s2A t22 p12 r16 x+17; s2A t34 p12 x+F y+4;													
0x0E9	None	Goonie, flightless, x3	A group of Goonies that run along the ground.	s2A t00 p12 r16 x+8 y-1; s2A t02 p12 x+18 y-1; s2A t08 p12 r16 x+13 y+7; s2A t00 p12 r16 x0 y-1; s2A t02 p12 x+10 y-1; s2A t08 p12 r16 x+B y+7; s2A t00 p12 r16 x-8 y-1; s2A t02 p12 x+8 y-1; s2A t08 p12 r16 x+3 y+7		3						0	0	1			
0x0EA	None	Gusty, vertical, back and forth	A ghost that flies back and forth 2.5 tiles. Starting direction depends on parity.			3	1					0	0	1			
0x0EA	0	down		s2C t00 p12 r16 y+8 fy; s2C t0C p12 x+4 fxy; s2C t1C p12 x+4 y+10													
0x0EA	1	up		s2C t00 p12 r16; s2C t0C p12 x+4 y+10; s2C t1C p12 x+3 y+1													
0x0EB	None	Gusty, horizontal, back and forth	A ghost that flies back and forth 2.5 tiles. Starting direction depends on parity.			3	1					0	0	1			
0x0EB	0	left		s2D t00 p12 r16 x-4; s2D t1B p12 x+C y+5													
0x0EB	1	right		s2D t00 p12 r16 x+4 fx; s2D t1B p12 x-4 y+5 fx													
0x0EC	None	Pyro Guy, jumping	A flaming Shy Guy that jumps quickly forward.	d082A7FA4 p11 r32 a-146 x-8 y-E; t15E p11 r16 x-3 y-B; t4F p10 x+6 y+7; t4F p10 x-2 y+7 fx	Stripe 30 in slot 5 + Dynamic	3						0	0	1			
0x0ED	None	Pyro Guy, running	A flaming Shy Guy that runs along the ground, pausing occasionally.	d082A7FA4 p11 r32 x-8 y-14; t15E p11 r16 x-1 y-5; t12E p10 y+8; t12E p10 x+8 y+8	Stripe 30 in slot 5 + Dynamic	3						0	0	1			
0x0EE	None	Eggo-Dil	A flower enemy that spins in place, then shoots its 5 petals outward. Can be stunned by ground pounding nearby.	s2F t00 p10 r16 x-8; s2F t00 p10 r16 x+8 fx; s2F t08 p12 r16 x+F y-16; s2F t08 p12 r16 x+9 y-4; s2F t08 p12 r16 x-A y-4; s2F t08 p12 r16 x-F y-16; s2F t08 p12 r16 y-21; d082A3024 p14 r32 x-9 y-1C		3						0	0	1	0	0	0
0x0EF	None	Eggo-Dil's ???	(glitch)			1											
0x0F0	None	Eggo-Dil petal	Floats in midair.	s2F t08 p12 r16		2											
0x0F1	None	Unused (SNES: Egg plant, bubbles)				0											
0x0F2	None	Stilt Guy	A Shy Guy on stilts.			3	3				0	0	0	1	0	0	0
0x0F2	0	green		s37 t0A p10 r16 x+1 y-8; s37 t07 p10 x-3 y+8; s37 t17 p10 x+9 y+8; s37 t06 p10 y-15; s37 t00 p10 r16 x+3 y-20; s37 t0A p10 r16 x+1 y-17; s37 t0A p10 r16 x+1 y-26; s37 t06 p10 x+C y-15													
0x0F2	1	red		s37 t0A p11 r16 x+1 y-8; s37 t07 p11 x-3 y+8; s37 t17 p11 x+9 y+8; s37 t06 p11 y-15; s37 t00 p11 r16 x+3 y-20; s37 t0A p11 r16 x+1 y-17; s37 t0A p11 r16 x+1 y-26; s37 t06 p11 x+C y-15													
0x0F2	2	yellow		s37 t0A p12 r16 x+1 y-8; s37 t07 p12 x-3 y+8; s37 t17 p12 x+9 y+8; s37 t06 p12 y-15; s37 t00 p12 r16 x+3 y-20; s37 t0A p12 r16 x+1 y-17; s37 t0A p12 r16 x+1 y-26; s37 t06 p12 x+C y-15													
0x0F2	3	pink		s37 t0A p14 r16 x+1 y-8; s37 t07 p14 x-3 y+8; s37 t17 p14 x+9 y+8; s37 t06 p14 y-15; s37 t00 p14 r16 x+3 y-20; s37 t0A p14 r16 x+1 y-17; s37 t0A p14 r16 x+1 y-26; s37 t06 p14 x+C y-15													
0x0F3	None	Woozy Guy	A Shy Guy that makes somersaulting jumps forward.			3	3				0	0	0	1	0	0	0
0x0F3	0	green		d08295724 p10 r16 a20													
0x0F3	1	red		d08295724 p11 r16 a20													
0x0F3	2	yellow		d08295724 p12 r16 a20													
0x0F3	3	pink		d08295724 p14 r16 a20													
0x0F4	None	Egg plant				3	1					0	0	1	1	0	0
0x0F4	0	eggs	Spawns eggs, if less than 6 eggs are present. Spawn rate increases if you ground pound nearby.	s1F t1A p11 y+8; s1F t0A p11 x+8 y+8; s1F t06 p14 r16 y-7; t102 p10 r16 y-15 o50													
0x0F4	1	Needlenoses	Spawns Needlenoses, if less than 6 eggs are present. Spawn rate increases if you ground pound nearby.	s1F t1A p11 y+8; s1F t0A p11 x+8 y+8; s1F t06 p14 r16 y-7; t10A p10 r16 y-15 o50													
0x0F5	None	Baseball Boy, Slugger	A Bandit holding a baseball bat that can hit eggs/seeds.	t4F p10 x+B y+5; tB4 p12 x-1 y+5; tB5 p12 x+7 y+5; t4E p10 x-2 y+8; t90 p12 r16 x-3 y-8; t98 p14 r16 x+6 y-6	Stripe 38 in slot 2	3						0	0	1			
0x0F6	None	Huffin Puffin, parent	Followed by up to 2 babies, if less than 6 eggs are present. The babies can be thrown like eggs, but circle back to Yoshi.	d082A3EA4 p11 r32 x-8 y-13; t12E p11 y+8; t12 p11 r16 x+19; t4E p11 x+23 y+A fx; t4E p11 x+14 y+A; t12 p11 r16 x+2D; t4E p11 x+37 y+A fx; t4E p11 x+28 y+A	Stripe 27 in slot 0	3						0	0	1	1		
0x0F7	None	Barney Bubble	Walks along the ground, and spits bubbles if stood on.	t4F p10 x-3 y+8; s1F t0E p14 r16 y-3; t12E p10 x+B y+A		3						0	0	1			
0x0F8	None	Blow Hard, ground	A cactus that periodically spits Needlenoses directly at Yoshi. Can be stunned by ground pounding nearby.	s36 t00 p10 r32,16 x-8; d082A3FA4 p10 r32 x-12 y-12		3						0	0	1			
0x0F9	None	Needlenose, pops on contact	Floats in midair with a cloud graphic.	t10A p12 r16; t1C3 p13 r16 o50		2						0	0	1			
0x0FA	None	Special Flower	Collectible flower.<br>Frozen if at the top-left corner of an ice block.	d08293F24 p11 r32 x-8 y-8		3				2	0	1	0	0	1	0	0
0x0FB	None	Spear Guy, red, tall spear	A red Shy Guy carrying a spear and shield, protecting it against attacks from the front and top.	s35 t14 p11 x+8 y+B fx; s35 t17 p11 x-5 y-5; s35 t17 p11 x-5 y+3 fy; s35 t15 p11 x-4 y+6; s35 t00 p11 r16 y-3; s35 t04 p11 x+A y-B; s35 t07 p11 x+5 y-B; s35 t16 p11 x+7 y-13; s35 t06 p11 x+5 y-1B		3						0	0	1			
0x0FC	None	Spear Guy, red, short spear	A red Shy Guy carrying a spear and shield, protecting it against attacks from the front and top.	s35 t14 p11 x+8 y+B fx; s35 t17 p11 x-5 y-5; s35 t17 p11 x-5 y+3 fy; s35 t15 p11 x-4 y+6; s35 t00 p11 r16 y-3; s35 t04 p11 x+A y-B; s35 t16 p11 x+7 y-7; s35 t06 p11 x+5 y-F		3						0	0	1			
0x0FD	None	Zeus Guy	A Bandit in a martial arts uniform that shoots energy projectiles, and is only stunned by Yoshi's attacks.	t54 p12 r16 x-3 y-1; t76 p11 x-8 y+9; t76 p11 x+7 y+9; t50 p10 r16 x-5 y-A; t56 p12 x-A; t56 p12 y+1	Stripe 1D in slot 1	3						0	0	1			
0x0FE	None	Zeus Guy's projectile	From Zeus Guy. Moves horizontally.	t82 p11 r16 x-8 y-4; t82 p11 r16 x+8 y-4 fx; t82 p11 r16 x-8 y+4 fy; t82 p11 r16 x+8 y+4 fxy		2						0	0	1			
0x0FF	None	Poochy	A dog that can carry Yoshi, and is immune to spikes/lava. When Yoshi's on Poochy's back, he moves in the direction Yoshi's facing. Sprite 1E5 causes him to leave.	s3A t00 p11 r32,16 x-10 y-B; s3A t0A p11 r16 x+5; s3A t0C p11 x+1 y-8; s3A t04 p11 r16 x-6 y-2; s3A t3C p11 x+F y-9 fx; s3A t3F p11 x-A y-A	Stripe 3A+3B next	3						0	0			1	
0x100	None	Bubbled 1up	Does not use item memory.	t89 p18 x-1 y+2; tCE p18 r16,8 x+1 y+2; tEE p10 r16 x+8 y-8; tEE p10 r16 x+8 y+4 fy; tEE p10 r16 x-8 y+4 fxy; t12C p10 r16 x-8 y-8		3						0	0		1		
0x101	None	Rotating spiked mace, single-ended	A giant spiked mace with a spiked chain that rotates around a central block.			3	1		6			0	0	1			
0x101	0	clockwise		d082A4FA4 p10 r32 a-13 x+3 y-3A; d082A4FA4 p10 r32 a-13 x-3 y-1E; d082A4F24 p10 r32 a-13 x+9 y-55													
0x101	1	counterclockwise		d082A4FA4 p10 r32 a+13 x-13 y-3A; d082A4FA4 p10 r32 a+13 x-D y-1E; d082A4F24 p10 r32 a+13 x-19 y-55													
0x102	None	Rotating spiked mace, double-ended	A giant spiked mace with a spiked chain that rotates around a central block.			3	1					0	0	1			
0x102	0	clockwise		d082A4FA4 p10 r32 a-13 x+3 y-3A; d082A4FA4 p10 r32 a-13 x-3 y-1E; d082A4F24 p10 r32 a-13 x+9 y-55; d082A4FA4 p10 r32 a167 x-13 y+2A; d082A4FA4 p10 r32 a167 x-D y+E; d082A4F24 p10 r32 a167 x-19 y+45													
0x102	1	counterclockwise		d082A4FA4 p10 r32 a+13 x-13 y-3A; d082A4FA4 p10 r32 a+13 x-D y-1E; d082A4F24 p10 r32 a+13 x-19 y-55; d082A4FA4 p10 r32 a-167 x+3 y+2A; d082A4FA4 p10 r32 a-167 x-3 y+E; d082A4F24 p10 r32 a-167 x+9 y+45													
0x103	None	Boo Guys working	Decorative. Commonly used near spiked mace sprites (101-102), and in object {extprefix}.52.	s3C t08 p10 r16 x-4; s3C t00 p10 r16 x+C		3						0		0	0	0	0
0x104	None	Jean de Fillet (Fishbone)	A skeleton fish that leaps in alternate directions. Starting direction depends on parity.			3	1					0	0	1			
0x104	0	right		d082A9224 p10 r32 a68 fx													
0x104	1	left		d082A9224 p10 r32 a-68													
0x105	None	Relay Boo Guy, right-to-left	A group of Boo Guys that pass a bomb among themselves. They drop the bomb when Yoshi approaches or ground pounds.	tD4 p10 r16 y-8; t1CC p14 r16 x-A y-B	Stripe 3D in slot 3	3						0	0	1			
0x106	None	Relay Boo Guy, left-to-right	A group of Boo Guys that pass a bomb among themselves. They drop the bomb when Yoshi approaches or ground pounds.	tD4 p10 r16 y-8 fx; t1CC p14 r16 x+A y-B	Stripe 3D in slot 3	3						0	0	1			
0x107	None	Watermelon seed	Non-interactive. Drifts downward.	t16C p1E x+4 y+4		1											
0x108	None	Milde, 1x1	When jumped on, causes a small explosion that pushes away nearby enemies.	s29 t06 p14 r16,8; s29 t12 p14 r16,8 y+8 		3						0	0	1			
0x109	None	Tap-Tap, gold, falls off ledges	Invincible to normal attacks. Can kill other enemies if egged.	t15B p10 r16 y-2; t4F p10 x-5 y+5; t4E p10 x+A y+8	Stripe 29 in slot 5	3					0	0	0	1	0	0	0
0x10A	None	Tap-Tap, gray, stays on ledges	Invincible to normal attacks. Can kill other enemies if egged.	t15B p12 r16 y-2; t4F p12 x-5 y+5; t4E p12 x+A y+8	Stripe 29 in slot 5	3					0	0	0	1	0	0	0
0x10B	None	Tap-Tap, gray, jumps in place	Invincible to normal attacks. Can kill other enemies if egged.	t15B p12 r16 y-1; t12E p12 y+8; t12E p12 x+8 y+8	Stripe 29 in slot 5	3					0	0	0	1	0	0	0
0x10C	None	Boo Guy raising spiked ball	The chain is shorter if blocked by something solid. The entire chain is solid and harmful, but the Boo Guy has no collision. Commonly used with object {extprefix}.53.	s3F t0B p10 x+C y+8; s3F t0B p10 x+C y+12; s3F t0B p10 x+C y+1C; s3F t0B p10 x+C y+26; s3F t0B p10 x+C y+30; s3F t0B p10 x+C y+3A; s3F t0B p10 x+C y+44; s3F t0B p10 x+C y+4E; s3F t0B p10 x+C y+58; s3F t0B p10 x+C y+62; s3F t0B p10 x+C y+6C; d082A4F24 p10 r32 y+72; s3F t02 p10 r16 x-7; s3F t0C p10 r16 x+4 fy		3			0			0	0	1			
0x10D	None	Boo Guy raising 10C	No collision. Constantly makes the raising sound.	s3F t02 p10 r16 x+B fx; s3F t0C p10 r16 fxy		1						0	1	0	0	0	0
0x10E	None	Crate, 6 stars	Spawns 6 stars when ground pounded. After being pounded once, the crate still spawns but contains nothing.	d082A5EA4 p14 r32 x-8 y-8; t14A p12 r16 y-5 o50; t12E p10 y+5 o50; t12E p10 x+7 y+5 fx o50		3				2		0	0		1		
0x10F	None	Blindfold Boo	A Boo that doesn't care which direction you're facing, but is attracted to your movements.	s30 t00 p10 r24,16 x-4 y-4; s30 t06 p10 r24,8 x-4 y+C; s30 t0B p10 y-2; s30 t09 p10 x+3 y+A		3						0	0	1			
0x110	None	Special Flower, tileset-specific	Collectible flower. This version is tileset-specific, only useful if many other dynamic sprites are loaded.<br>Frozen if at the top-left corner of an ice block.	s71 t0C p11 r32,16 x-8 y-8; s71 t0C p11 r32,16 x-8 y+8 fxy; s71 t02 p11 r16		3				2	0	1	0	0	1	0	0
0x111	None	Georgette Jelly	A slime that splatters when hit or jumped on, but reforms after some time.	s41 t02 p10 r16; s41 t04 p10 x-8 y+8; s41 t14 p10 x+10 y+8		3						0	0	1			
0x112	None	Georgette Jelly's particles	(doesn't spawn when placed directly)			1											
0x113	None	Snifit	Walks on a ledge and shoots bullets periodically.	s40 t06 p10 r16 x+3 y-5 fx; s40 t1E p10 x+1 y+7; s40 t0E p10 x+9 y+7 fy; s40 t0C p12 x-2 y+B; s40 t0C p12 x+C y+B fx; s40 t00 p12 r16 x-4 y-5		3						0	0	1			
0x114	None	Snifit's bullet	Moves horizontally.	s40 t1F p12 y+4; s40 t0F p12 x+8 y+4		2						0	0	1			
0x115	None	Coin, gravity-affected, timed	Vanishes after 5 seconds. Does not use item memory.	tAC p12 r16		3				0	0	0	0	0	1	0	0
0x116	None	Grassy platform, buoyant, rotatable	Floats on the surface of liquid, and rotates if Yoshi stands on it.	s4C t00 p10 r32,16; s4C t04 p10 r32,16 y+10	Stripe 4C + Dynamic	3						0	0			1	
0x117	None	Donut Lift, 1x1, respawning	Becomes a layer 1 tile and deletes any tile it's overlapping. Unlike object 9E, this sprite respawns.	s4C t08 p14 r16		2											
0x118	None	Donut Lift, 2x2, respawning	Becomes a 2x2 grid of layer 1 tiles and deletes any tiles it's overlapping. Unlike object 8E, this sprite respawns.	s4C t0A p14 r32,16; s4C t0E p14 r16 y+10; s4C t0E p14 r16 x+10 y+10 fx; l1 t108 p1 r32,16 o50; l1 t10C p1 r16 y+10 o50; l1 t10C p1 r16 x+10 y+10 fx o50	L1=F + Stripe 4C	2											
0x119	None	Spooky Shy Guy	A green Shy Guy in a sheet, which can be eaten. If touched, sometimes spawns a Bandit that carries off Baby Mario.	d082A2FA4 p10 r32 x-8 y-8; s46 t0 p0 o0	Stripe 46+4E	3						0	0	1			
0x11A	None	Baseball Boy, Green Glove	A Bandit wearing a baseball glove that can catch and throw eggs.	tB4 p10 x-1 y+5; tB5 p10 x+7 y+5; t4E p10 x-2 y+8; t90 p10 r16 x-3 y-8; t9A p14 r16 x+3 y+2 fxy; t90 p10 x-3 y-8; t91 p10 x+5 y-8	Stripe 38 in slot 2	3						0	0	1			
0x11B	None	Lakitu, regular	A Koopa on a cloud that throws Spiny eggs aimed at Yoshi. If jumped on, leaves behind a timed ridable cloud. Respawns if killed, but can be despawned with sprite 1E3.			3	1					0	0	1			
0x11B	0	1 Lakitu		s49 t1D p10 x+A y-7; s49 t0A p12 r16 x+4 fx; s49 t0A p12 r16 x-4; s49 t0D p11 x+4 y-14; s49 t00 p11 r16 x-2 y-D													
